ethnicity,race,adams,allen,bartholomew,benton,blackford,boone,brown,carroll,cass,clark,clay,clinton,crawford,daviess,dearborn,decatur,dekalb,delaware,dubois,elkhart,fayette,floyd,fountain,franklin,fulton,gibson,grant,greene,hamilton,hancock,harrison,hendricks,henry,howard,huntington,jackson,jasper,jay,jefferson,jennings,johnson,knox,kosciusko,lagrange,lake,laporte,lawrence,madison,marion,marshall,martin,miami,monroe,montgomery,morgan,newton,noble,ohio,orange,owen,parke,perry,pike,porter,posey,pulaski,putnam,randolph,ripley,rush,st. joseph,scott,shelby,spencer,starke,steuben,sullivan,switzerland,tippecanoe,tipton,union,vanderburgh,vermillion,vigo,wabash,warren,warrick,washington,wayne,wells,white,whitley
white,white,34084,304280,70604,8564,12103,60060,14740,19483,32529,105180,26075,31130,10476,31530,48540,25685,42092,104930,40325,183468,22655,70507,16453,22682,19366,32514,61366,32141,276747,70448,38682,141926,46918,74241,35555,40708,32290,20804,31161,27120,138957,35982,75368,38531,314770,95080,44815,117374,614034,44030,10034,33291,129418,37510,68571,13683,46718,5772,19183,20643,16693,18490,12206,156546,25002,12445,35707,24704,27723,16425,220255,23440,42441,20155,22464,34100,19808,10432,158552,15007,7182,160397,15439,97821,30937,8198,58732,27613,62013,27135,22728,32951
apache,native american,15,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,19,0,11,0,0,0,0,0,4,11,0,0,0,0,8,0,26,0,0,0,0,0,0,0,0,0,0,0,0,18,7,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,11,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,7,0,9,0
arapaho,native american,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blackfeet,native american,0,5,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,70,0,0,0,21,34,0,0,0,0,0,0,0,0,5,0,82,41,0,0,18,0,0,5,11,0,7,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,4,0,0,0,0,0,0,0,0,0
canadian and french american indian,native american,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
central american indian,native american,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cherokee,native american,0,160,138,1,14,30,0,0,9,14,13,0,25,11,35,0,18,31,0,138,0,62,0,0,40,8,36,5,29,59,2,81,32,101,50,58,0,11,0,18,22,0,132,8,273,45,16,34,596,0,34,18,59,0,6,11,4,5,19,26,28,0,0,83,3,12,28,0,16,0,291,38,6,1,0,0,3,0,135,0,0,144,23,0,10,0,30,89,36,7,0,0
cheyenne,native american,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
chickasaw,native american,0,13,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,80,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
chippewa,native american,0,11,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,64,0,0,14,14,0,0,0,4,0,60,0,108,19,0,14,5,0,0,0,12,0,183,0,9,0,18,8,0,11,71,5,0,0,14,0,0,4,0,0,0,0,0,0,0,33,0,0,0,0,17,0,3,0,0,8,0,0,0,0,0,0,0,21,0,26,0,0,0,0,0,0,15,0
choctaw,native american,0,20,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,91,0,0,30,0,60,0,0,0,0,0,0,0,0,0,3,64,64,0,7,23,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
colville,native american,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
