cnty_name,county,mcd,cousubfp,mcd_name,total,acadian,afghan,africa,albania,alsatian,arab,armenia,assyria,australia,austria,basque,belgium,brazil,bulgaria,canada,capeverde,carprus,celtic,croatia,cyprus,czech,czchslovk,denmark,eeurope,egypt,english,estonia,ethiopia,europe,finland,france,frcanada,germany,ghana,grbritain,greece,guyana,hungary,iceland,iran,iraq,ireland,israel,italy,jordan,kenya,latvia,lebanon,liberia,lithuania,luxemburg,macedonia,malta,morrocco,netherlnd,neurope,newzeal,nigeria,norway,ossafric,otharab,palestine,poland,portugal,romania,russia,safrica,saudi,scandnv,scotirish,scotland,senegal,serbia,sierrleon,slavic,slovak,slovenia,somalia,sovunion,subafrica,sudan,sweden,switzrlnd,syria,turkey,uganda,ukraine,wales,westindes,yugoslavia,zaire,zimbabwe,white,hispanic,black,amindan,asian,top_industry
Adams,001,060,80324,Washington,10528,0,0,0,0,0,11,0,0,0,16,0,0,0,0,23,0,0,0,0,0,0,9,0,0,0,484,0,0,49,0,172,17,2727,0,8,7,0,0,0,0,0,536,0,60,0,0,0,0,0,0,0,0,0,0,55,0,0,0,22,0,0,11,38,0,0,9,0,0,0,34,87,0,0,0,0,0,0,0,0,17,17,54,320,0,0,0,0,0,0,0,0,0,10048,663,19,31,28,Motor Vehicle And Parts Dealers
Adams,001,010,25900,French,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,1015,1,0,0,2,Motor Vehicle And Parts Dealers
Adams,001,040,65862,Root,4433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,259,0,0,0,0,76,21,1514,0,0,4,0,0,0,0,0,147,0,40,0,0,0,0,0,0,0,0,0,0,36,7,0,0,0,0,0,0,25,0,0,0,0,0,0,42,43,0,0,0,0,0,0,0,0,0,0,21,130,0,0,0,27,0,0,0,0,0,4297,210,5,2,7,Motor Vehicle And Parts Dealers
Adams,001,025,39924,Kirkland,885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,13,0,282,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,870,12,4,3,0,Motor Vehicle And Parts Dealers
Adams,001,030,50220,Monroe,4551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,94,0,0,7,0,34,0,721,0,0,0,0,0,0,0,0,101,0,21,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,6,0,0,0,0,0,8,0,0,0,0,6,1121,0,0,0,0,6,0,0,0,0,4479,67,3,4,1,Motor Vehicle And Parts Dealers
Adams,001,035,61884,Preble,1095,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,19,0,0,24,0,0,32,0,27,6,647,0,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,6,0,0,0,12,0,6,6,0,0,0,0,0,0,0,0,0,1078,15,0,0,3,Motor Vehicle And Parts Dealers
Adams,001,050,77120,Union,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,23,0,0,36,0,0,0,456,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,962,27,1,0,1,Motor Vehicle And Parts Dealers
Adams,001,045,67068,St. Marys,1264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,12,0,343,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,1248,24,0,1,0,Motor Vehicle And Parts Dealers
Adams,001,015,32206,Hartford,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,866,0,1,1,10,Motor Vehicle And Parts Dealers
Adams,001,005,05914,Blue Creek,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,20,14,256,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,47,0,0,0,0,0,0,0,0,0,1187,2,0,0,0,Motor Vehicle And Parts Dealers
