cnty_name,naics_code,count
Adams,Electric,1
Allen,Electric,10
Bartholomew,Electric,1
Benton,Electric,1
Boone,Electric,7
Clark,Electric,1
Dearborn,Electric,1
Decatur,Electric,1
Dekalb,Electric,6
Delaware,Electric,3
Dubois,Electric,1
Elkhart,Electric,12
Floyd,Electric,4
Fountain,Electric,1
Gibson,Electric,3
Grant,Electric,2
Hamilton,Electric,9
Hendricks,Electric,2
Henry,Electric,1
Howard,Electric,2
Huntington,Electric,2
Jackson,Electric,1
Jefferson,Electric,1
Jennings,Electric,1
Johnson,Electric,4
Kosciusko,Electric,1
Lagrange,Electric,3
Lake,Electric,5
Laporte,Electric,2
Madison,Electric,1
Marion,Electric,17
Marshall,Electric,2
Miami,Electric,1
Monroe,Electric,2
Montgomery,Electric,1
Morgan,Electric,1
Noble,Electric,3
Porter,Electric,5
StJoseph,Electric,8
Shelby,Electric,1
Steuben,Electric,6
Tippecanoe,Electric,4
Vanderburgh,Electric,5
Wabash,Electric,1
Wells,Electric,3
White,Electric,1
Whitley,Electric,2
Allen,Internet Services,10
Boone,Internet Services,4
Cass,Internet Services,1
Clark,Internet Services,3
Delaware,Internet Services,3
Elkhart,Internet Services,7
Floyd,Internet Services,1
Greene,Internet Services,1
Hamilton,Internet Services,32
Hancock,Internet Services,2
Hendricks,Internet Services,5
Henry,Internet Services,1
Johnson,Internet Services,6
Knox,Internet Services,1
Kosciusko,Internet Services,1
Lake,Internet Services,7
Laporte,Internet Services,1
Madison,Internet Services,3
Marion,Internet Services,50
Monroe,Internet Services,1
Montgomery,Internet Services,2
Owen,Internet Services,2
Parke,Internet Services,1
Porter,Internet Services,5
StJoseph,Internet Services,9
Shelby,Internet Services,1
Spencer,Internet Services,1
Tippecanoe,Internet Services,4
Vanderburgh,Internet Services,3
Whitley,Internet Services,1
Adams,Sporting & Music Stores,4
Allen,Sporting & Music Stores,60
Bartholomew,Sporting & Music Stores,22
Boone,Sporting & Music Stores,9
Brown,Sporting & Music Stores,7
Cass,Sporting & Music Stores,5
Clark,Sporting & Music Stores,22
Clay,Sporting & Music Stores,1
Clinton,Sporting & Music Stores,3
Daviess,Sporting & Music Stores,7
Dearborn,Sporting & Music Stores,9
Decatur,Sporting & Music Stores,5
Dekalb,Sporting & Music Stores,3
Delaware,Sporting & Music Stores,22
Dubois,Sporting & Music Stores,12
Elkhart,Sporting & Music Stores,36
Fayette,Sporting & Music Stores,2
Floyd,Sporting & Music Stores,5
Franklin,Sporting & Music Stores,1
Fulton,Sporting & Music Stores,1
Gibson,Sporting & Music Stores,6
Grant,Sporting & Music Stores,11
Greene,Sporting & Music Stores,2
Hamilton,Sporting & Music Stores,49
Hancock,Sporting & Music Stores,8
Harrison,Sporting & Music Stores,4
Hendricks,Sporting & Music Stores,17
Henry,Sporting & Music Stores,4
Howard,Sporting & Music Stores,15
Huntington,Sporting & Music Stores,6
Jackson,Sporting & Music Stores,7
Jay,Sporting & Music Stores,2
Jefferson,Sporting & Music Stores,8
Jennings,Sporting & Music Stores,3
Johnson,Sporting & Music Stores,24
Knox,Sporting & Music Stores,8
Kosciusko,Sporting & Music Stores,13
Lagrange,Sporting & Music Stores,10
Lake,Sporting & Music Stores,65
Laporte,Sporting & Music Stores,16
Lawrence,Sporting & Music Stores,7
Madison,Sporting & Music Stores,13
Marion,Sporting & Music Stores,150
Marshall,Sporting & Music Stores,6
Miami,Sporting & Music Stores,4
Monroe,Sporting & Music Stores,28
Montgomery,Sporting & Music Stores,5
Morgan,Sporting & Music Stores,8
Newton,Sporting & Music Stores,2
Noble,Sporting & Music Stores,3
Orange,Sporting & Music Stores,2
Perry,Sporting & Music Stores,1
Pike,Sporting & Music Stores,1
Porter,Sporting & Music Stores,24
Putnam,Sporting & Music Stores,5
