cnty_name,naics_code,count,lat,lng
Adams,Broadcasting (Except Internet),1,40.7456599,-84.9366547
Adams,Educational Services,5,40.7456599,-84.9366547
Adams,Food Manufacturing,5,40.7456599,-84.9366547
Adams,Bldg. Mat. & Garden Equip. & Supp. Dealers,17,40.7456599,-84.9366547
Adams,Information,11,40.7456599,-84.9366547
Adams,"Arts, Entertainment, And Recreation",6,40.7456599,-84.9366547
Adams,Printing And Related Support Activities,3,40.7456599,-84.9366547
Adams,Animal Production,8,40.7456599,-84.9366547
Adams,Plastics And Rubber Products Mfg,2,40.7456599,-84.9366547
Adams,Textile Product Mills,1,40.7456599,-84.9366547
Adams,"Amusement, Gambling, And Recreation Industries",6,40.7456599,-84.9366547
Adams,Mining,1,40.7456599,-84.9366547
Adams,Electric,1,40.7456599,-84.9366547
Adams,"Securities, Commodity Contracts, And Other",7,40.7456599,-84.9366547
Adams,Furniture And Home Furnishings Stores,6,40.7456599,-84.9366547
Adams,Electronics And Appliance Stores,4,40.7456599,-84.9366547
Adams,Furniture And Related Product Mfg,6,40.7456599,-84.9366547
Adams,Accommodation,3,40.7456599,-84.9366547
Adams,Crop Production,8,40.7456599,-84.9366547
Adams,Chemical Manufacturing,1,40.7456599,-84.9366547
Adams,Support Activities For Agriculture & Forestry,5,40.7456599,-84.9366547
Adams,Computer And Electronic Product Mfg,3,40.7456599,-84.9366547
Adams,Motion Picture & Sound Recording Industries,2,40.7456599,-84.9366547
Adams,Health And Personal Care Stores,6,40.7456599,-84.9366547
Adams,Wood Product Manufacturing,3,40.7456599,-84.9366547
Adams,Management Of Companies And Enterprises,2,40.7456599,-84.9366547
Adams,Waste Mgt. & Remediation Services,3,40.7456599,-84.9366547
Adams,Nonstore Retailers,10,40.7456599,-84.9366547
Adams,Couriers And Messengers,1,40.7456599,-84.9366547
Adams,Wholesale Elec. Markets & Agents & Brokers,2,40.7456599,-84.9366547
Adams,Publishing Industries (Except Internet),3,40.7456599,-84.9366547
Adams,Miscellaneous Manufacturing,1,40.7456599,-84.9366547
Adams,Machinery Manufacturing,13,40.7456599,-84.9366547
Adams,Clothing And Clothing Accessories Stores,6,40.7456599,-84.9366547
Adams,Heavy And Civil Engineering Construction,4,40.7456599,-84.9366547
Adams,Mining (Except Oil And Gas),1,40.7456599,-84.9366547
Adams,Nonmetallic Mineral Product Mfg,2,40.7456599,-84.9366547
Adams,Support Activities For Transportation,2,40.7456599,-84.9366547
Adams,Forestry And Logging,1,40.7456599,-84.9366547
Adams,Other Information Services,1,40.7456599,-84.9366547
Adams,Transit And Ground Passenger Trans.,2,40.7456599,-84.9366547
Adams,Telecommunications,4,40.7456599,-84.9366547
Adams,"Religious, Grantmaking, Civic, Professional, And Similar Organizations",14,40.7456599,-84.9366547
Adams,Motor Vehicle And Parts Dealers,28,40.7456599,-84.9366547
Adams,Miscellaneous Store Retailers,10,40.7456599,-84.9366547
Adams,Fabricated Metal Product Mfg,13,40.7456599,-84.9366547
Adams,Sporting & Music Stores,4,40.7456599,-84.9366547
Adams,Utilities,1,40.7456599,-84.9366547
Allen,Broadcasting (Except Internet),17,41.0908711,-85.0665628
Allen,Petroleum And Coal Products Mfg,1,41.0908711,-85.0665628
Allen,Warehousing And Storage,24,41.0908711,-85.0665628
Allen,Leather And Allied Product Manufacturing,1,41.0908711,-85.0665628
Allen,"Amusement, Gambling, And Recreation Industries",95,41.0908711,-85.0665628
