cnty_name,lat,lng
Adams,40.7456599,-84.9366547
Allen,41.0908711,-85.0665628
Bartholomew,39.205973,-85.8976045
Benton,40.6062585,-87.310906
Blackford,40.4736006,-85.3248199
Boone,40.0508014,-86.4686962
Brown,39.1962112,-86.2273748
Carroll,40.5828586,-86.5634841
Cass,40.7614915,-86.3459466
Clark,38.4771815,-85.7072825
Clay,39.3927278,-87.1157584
Clinton,40.3016906,-86.4751595
Crawford,38.2924146,-86.4517084
Daviess,38.70241,-87.0720685
Dearborn,39.1451856,-84.9732607
Decatur,39.3069999,-85.5011431
Dekalb,41.3975799,-84.9990887
Delaware,40.2275253,-85.3968993
Dubois,38.3642764,-86.8798021
Elkhart,41.5973845,-85.8587553
Fayette,39.6400558,-85.178725
Floyd,38.318906,-85.906872
Fountain,40.1208708,-87.2419917
Franklin,39.4148645,-85.0602849
Fulton,41.0469633,-86.2635836
Gibson,38.3118253,-87.5845947
Grant,40.5158446,-85.6547259
Greene,39.036329,-86.9620466
Hamilton,40.0724895,-86.0520143
Hancock,39.82355,-85.7732377
Harrison,38.1951229,-86.111311
Hendricks,39.7695175,-86.5099761
Henry,39.9310397,-85.3964354
Howard,40.4835856,-86.1169307
Huntington,40.82924,-85.4881723
Jackson,38.9064199,-86.0375381
Jasper,41.0229972,-87.1161201
Jay,40.4379184,-85.0056353
Jefferson,38.7858227,-85.4385729
Jennings,38.9969301,-85.6280646
Johnson,39.4899702,-86.1016367
Knox,38.6890898,-87.4180085
Kosciusko,41.2440973,-85.8607177
Lagrange,41.6426063,-85.4264979
Lake,41.4722068,-87.3763654
Laporte,41.5490215,-86.7423662
Lawrence,38.8411629,-86.4834512
Madison,40.1616556,-85.7193452
Marion,39.7817091,-86.1384719
Marshall,41.324849,-86.2617613
Martin,38.7080111,-86.8030655
Miami,40.7695039,-86.0450231
Monroe,39.1609179,-86.523137
Montgomery,40.0403787,-86.8932999
Morgan,39.4815483,-86.4462123
Newton,40.95585,-87.3975354
Noble,41.3985995,-85.4174667
Ohio,38.9500957,-84.9650291
Orange,38.5417789,-86.4950693
Owen,39.312812,-86.8376516
Parke,39.7736252,-87.2063583
Perry,38.0796491,-86.6380318
Pike,38.3987832,-87.2321643
Porter,41.5088386,-87.0733185
Posey,38.0218916,-87.8684712
Pulaski,41.0418321,-86.6987793
Putnam,39.666261,-86.8449985
Randolph,40.1576396,-85.0113104
Ripley,39.1034547,-85.2623864
Rush,39.6199484,-85.4657612
StJoseph,41.616718,-86.2898577
Scott,38.68507,-85.7474682
Shelby,39.5236922,-85.7917004
Spencer,38.0140589,-87.0077059
Starke,41.2809264,-86.6476486
Steuben,41.6438678,-85.0007651
Sullivan,39.0888347,-87.4146904
Switzerland,38.8261608,-85.0369979
Tippecanoe,40.3886187,-86.8940974
Tipton,40.3113452,-86.051859
Union,39.6255459,-84.925142
Vanderburgh,38.0251431,-87.5857831
Vermillion,39.8537975,-87.4639735
Vigo,39.4306386,-87.3899644
Wabash,40.845693,-85.7940057
Wabash,40.3469033,-87.3533145
Warrick,38.0921661,-87.2720543
Washington,38.599984,-86.1053056
Wayne,39.8644165,-85.0098765
Wells,40.7291867,-85.2212199
White,40.7497716,-86.8654694
Whitley,41.1393753,-85.5051179
