cnty_name,top_industry
Marion,"Religious, Grantmaking, Civic, Professional, And Similar Organizations"
Hamilton,Wholesale Elec. Markets & Agents & Brokers
Lake,Motor Vehicle And Parts Dealers
Allen,Motor Vehicle And Parts Dealers
Elkhart,Fabricated Metal Product Mfg
StJoseph,Motor Vehicle And Parts Dealers
Vanderburgh,Clothing And Clothing Accessories Stores
Hendricks,"Arts, Entertainment, And Recreation"
Johnson,Clothing And Clothing Accessories Stores
Laporte,Clothing And Clothing Accessories Stores
Porter,"Religious, Grantmaking, Civic, Professional, And Similar Organizations"
Bartholomew,Clothing And Clothing Accessories Stores
Tippecanoe,Clothing And Clothing Accessories Stores
Monroe,Accommodation
Clark,Motor Vehicle And Parts Dealers
Vigo,"Religious, Grantmaking, Civic, Professional, And Similar Organizations"
Delaware,Motor Vehicle And Parts Dealers
Kosciusko,Motor Vehicle And Parts Dealers
Knox,Crop Production
Lagrange,Furniture And Related Product Mfg
Daviess,Furniture And Related Product Mfg
Madison,"Religious, Grantmaking, Civic, Professional, And Similar Organizations"
Dekalb,Fabricated Metal Product Mfg
Noble,Fabricated Metal Product Mfg
Howard,Miscellaneous Store Retailers
Boone,Wholesale Elec. Markets & Agents & Brokers
Wayne,"Religious, Grantmaking, Civic, Professional, And Similar Organizations"
Dubois,Furniture And Related Product Mfg
Marshall,Fabricated Metal Product Mfg
Floyd,Fabricated Metal Product Mfg
Steuben,Fabricated Metal Product Mfg
Hancock,Wholesale Elec. Markets & Agents & Brokers
Adams,Motor Vehicle And Parts Dealers
Jackson,Motor Vehicle And Parts Dealers
Wabash,Animal Production
Morgan,Motor Vehicle And Parts Dealers
Montgomery,Crop Production
Tipton,Crop Production
Grant,Motor Vehicle And Parts Dealers
Jasper,Motor Vehicle And Parts Dealers
Shelby,Motor Vehicle And Parts Dealers
Brown,Accommodation
Dearborn,"Arts, Entertainment, And Recreation"
Posey,Crop Production
Warrick,Miscellaneous Store Retailers
Putnam,Accommodation
Lawrence,Motor Vehicle And Parts Dealers
White,Crop Production
Clay,Motor Vehicle And Parts Dealers
Gibson,Crop Production
Decatur,Motor Vehicle And Parts Dealers
Jefferson,Motor Vehicle And Parts Dealers
Huntington,Fabricated Metal Product Mfg
Carroll,Crop Production
Clinton,Crop Production
Fulton,Fabricated Metal Product Mfg
Ripley,Fabricated Metal Product Mfg
Greene,Motor Vehicle And Parts Dealers
Wells,Motor Vehicle And Parts Dealers
Pulaski,Crop Production
Starke,Crop Production
Cass,Motor Vehicle And Parts Dealers
Fayette,Motor Vehicle And Parts Dealers
Henry,Motor Vehicle And Parts Dealers
Miami,Motor Vehicle And Parts Dealers
Harrison,Motor Vehicle And Parts Dealers
Whitley,Motor Vehicle And Parts Dealers
Fountain,Crop Production
Scott,Motor Vehicle And Parts Dealers
Randolph,"Religious, Grantmaking, Civic, Professional, And Similar Organizations"
Spencer,"Religious, Grantmaking, Civic, Professional, And Similar Organizations"
Newton,Crop Production
Sullivan,Crop Production
Warren,Crop Production
Jennings,Fabricated Metal Product Mfg
Orange,Heavy And Civil Engineering Construction
Owen,Motor Vehicle And Parts Dealers
Washington,Motor Vehicle And Parts Dealers
Jay,"Religious, Grantmaking, Civic, Professional, And Similar Organizations"
Benton,Crop Production
Perry,Motor Vehicle And Parts Dealers
Vermillion,Motor Vehicle And Parts Dealers
Rush,Bldg. Mat. & Garden Equip. & Supp. Dealers
Parke,Motor Vehicle And Parts Dealers
Blackford,Motor Vehicle And Parts Dealers
Franklin,Motor Vehicle And Parts Dealers
Martin,"Religious, Grantmaking, Civic, Professional, And Similar Organizations"
Pike,Mining
Union,Motor Vehicle And Parts Dealers
Switzerland,Accommodation
Crawford,Accommodation
Ohio,Miscellaneous Manufacturing
