Race,"Adams County, IN","Allen County, IN","Bartholomew County, IN","Benton County, IN","Blackford County, IN","Boone County, IN","Brown County, IN","Carroll County, IN","Cass County, IN","Clark County, IN","Clay County, IN","Clinton County, IN","Crawford County, IN","Daviess County, IN","Dearborn County, IN","Decatur County, IN","DeKalb County, IN","Delaware County, IN","Dubois County, IN","Elkhart County, IN","Fayette County, IN","Floyd County, IN","Fountain County, IN","Franklin County, IN","Fulton County, IN","Gibson County, IN","Grant County, IN","Greene County, IN","Hamilton County, IN","Hancock County, IN","Harrison County, IN","Hendricks County, IN","Henry County, IN","Howard County, IN","Huntington County, IN","Jackson County, IN","Jasper County, IN","Jay County, IN","Jefferson County, IN","Jennings County, IN","Johnson County, IN","Knox County, IN","Kosciusko County, IN","LaGrange County, IN","Lake County, IN","LaPorte County, IN","Lawrence County, IN","Madison County, IN","Marion County, IN","Marshall County, IN","Martin County, IN","Miami County, IN","Monroe County, IN","Montgomery County, IN","Morgan County, IN","Newton County, IN","Noble County, IN","Ohio County, IN","Orange County, IN","Owen County, IN","Parke County, IN","Perry County, IN","Pike County, IN","Porter County, IN","Posey County, IN","Pulaski County, IN","Putnam County, IN","Randolph County, IN","Ripley County, IN","Rush County, IN","St. Joseph County, IN","Scott County, IN","Shelby County, IN","Spencer County, IN","Starke County, IN","Steuben County, IN","Sullivan County, IN","Switzerland County, IN","Tippecanoe County, IN","Tipton County, IN","Union County, IN","Vanderburgh County, IN","Vermillion County, IN","Vigo County, IN","Wabash County, IN","Warren County, IN","Warrick County, IN","Washington County, IN","Wayne County, IN","Wells County, IN","White County, IN","Whitley County, IN"
Asian Indian,25,2450,2954,8,0,942,0,0,0,25,0,16,0,0,0,94,0,673,125,274,0,108,0,0,0,10,0,0,7446,60,0,1548,0,172,138,52,3,0,0,0,2296,49,424,10,1605,98,83,40,6784,5,0,2,1597,96,236,0,10,0,7,0,0,15,25,966,40,0,24,0,203,0,1580,0,66,0,1,0,0,33,3227,0,0,250,0,766,0,0,407,0,74,28,0,0
Bangladeshi,0,33,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,10,0,0,0
Bhutanese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burmese,0,3373,0,0,0,0,0,0,28,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,46,0,0,6596,0,0,0,168,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,0,4,0,0,4,0,0,12,0,0,7,0,0,0,0,0,0,0,0,0,0
Cambodian,0,84,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,58,0,0,0,0,5,0,301,0,66,0,0,0,0,0,0,0,0,0,0,2,26,0,88,32,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,2,0,0,0
"Chinese, except Taiwanese",0,916,816,0,23,333,0,0,87,47,4,33,0,8,30,6,54,458,17,693,0,311,0,5,38,8,200,35,4326,238,23,538,108,328,111,299,69,12,135,87,372,193,43,4,1270,56,23,156,4308,61,0,24,3668,0,73,49,21,0,60,24,0,11,25,442,35,49,133,0,66,0,1665,0,45,21,78,14,113,0,7645,0,0,527,0,208,29,0,194,12,45,23,3,40
Filipino,74,587,166,0,32,55,45,17,67,289,38,0,7,0,14,208,37,259,127,276,22,88,7,36,34,47,219,11,903,178,37,586,23,122,9,67,17,10,19,10,281,13,13,0,1641,157,57,86,2640,30,20,90,498,122,73,35,111,11,0,18,0,10,27,444,0,17,8,32,0,0,594,95,19,0,38,31,0,17,592,0,27,421,16,492,0,1,240,18,328,23,39,89
Hmong,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesian,0,2,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,28,0,0,0,0,3,0,0,15,0,7,28,0,17,0,0,0,0,2,0,0,0
Japanese,0,205,542,0,0,11,0,0,34,0,0,0,7,20,0,0,0,0,0,57,0,96,0,0,0,0,43,0,532,56,0,112,33,42,0,331,0,26,38,0,293,2,29,0,213,56,0,61,665,8,0,2,335,0,31,0,0,0,0,4,0,0,0,27,7,0,138,0,0,2,168,0,150,0,0,23,0,0,445,0,0,331,15,67,0,0,0,0,39,7,3,14
Korean,24,836,52,0,0,188,17,0,14,172,21,0,0,40,90,53,27,52,0,138,9,51,0,0,13,27,91,10,1519,28,0,92,0,61,23,0,0,63,0,0,107,16,78,39,609,81,11,53,1343,0,0,6,1507,68,10,0,78,0,6,4,0,0,50,69,0,15,20,0,0,12,456,0,6,0,0,14,0,0,1720,0,0,197,0,268,27,0,131,18,11,32,0,12
