geoid,name,B03001001,"B03001001, Error",B03001002,"B03001002, Error",B03001003,"B03001003, Error",B03001004,"B03001004, Error",B03001005,"B03001005, Error",B03001006,"B03001006, Error",B03001007,"B03001007, Error",B03001008,"B03001008, Error",B03001009,"B03001009, Error",B03001010,"B03001010, Error",B03001011,"B03001011, Error",B03001012,"B03001012, Error",B03001013,"B03001013, Error",B03001014,"B03001014, Error",B03001015,"B03001015, Error",B03001016,"B03001016, Error",B03001017,"B03001017, Error",B03001018,"B03001018, Error",B03001019,"B03001019, Error",B03001020,"B03001020, Error",B03001021,"B03001021, Error",B03001022,"B03001022, Error",B03001023,"B03001023, Error",B03001024,"B03001024, Error",B03001025,"B03001025, Error",B03001026,"B03001026, Error",B03001027,"B03001027, Error",B03001028,"B03001028, Error",B03001029,"B03001029, Error",B03001030,"B03001030, Error",B03001031,"B03001031, Error"
04000US18,Indiana,6614418,0,6172450,183,441968,183,326141,3915,39013,2195,6356,1012,3099,621,33856,2581,935,375,9171,1266,8276,1404,2257,549,1104,314,11767,1423,346,258,13238,1366,1420,368,520,396,873,340,2748,521,1939,721,77,64,3181,744,108,95,2300,665,72,56,20265,1783,6631,879,2601,534,313,273,10720,1514
05000US18001,"Adams County, IN",35018,0,33464,0,1554,0,1385,75,24,35,0,24,16,23,35,37,0,24,0,24,27,36,0,24,0,24,8,13,0,24,43,42,0,24,0,24,0,24,16,22,0,24,0,24,27,38,0,24,0,24,0,24,51,53,1,2,2,7,0,24,48,52
05000US18003,"Allen County, IN",367747,0,341201,0,26546,0,18945,832,1972,517,437,172,89,98,2892,621,54,55,1911,560,87,64,89,83,39,42,712,323,0,27,998,295,10,16,28,44,10,17,285,157,369,210,0,27,187,112,54,79,55,59,0,27,1213,329,266,139,377,216,0,27,570,255
05000US18005,"Bartholomew County, IN",81024,0,75771,0,5253,0,4431,279,195,128,13,18,0,27,361,231,0,27,103,92,153,208,0,27,0,27,105,92,0,27,156,112,16,27,0,27,0,27,7,15,37,59,0,27,96,96,0,27,0,27,0,27,97,65,14,26,8,13,0,27,75,54
05000US18007,"Benton County, IN",8685,0,8243,0,442,0,431,12,0,16,0,16,0,16,7,10,0,16,7,10,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,4,7,0,16,0,16,0,16,4,7
05000US18009,"Blackford County, IN",12214,0,12030,0,184,0,184,4,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
05000US18011,"Boone County, IN",63013,0,61284,0,1729,0,1080,244,100,77,0,27,17,27,22,34,0,27,22,34,0,27,0,27,0,27,0,27,0,27,105,93,54,83,0,27,11,18,24,33,0,27,0,27,0,27,0,27,16,28,0,27,405,206,379,210,5,9,0,27,21,32
05000US18013,"Brown County, IN",15007,0,14764,0,243,0,164,61,14,26,0,18,0,18,34,39,0,18,16,26,0,18,0,18,18,27,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,31,45,0,18,10,16,0,18,21,42
05000US18015,"Carroll County, IN",19994,0,19214,0,780,0,522,139,27,27,15,16,3,5,199,134,0,18,41,42,0,18,0,18,0,18,158,123,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,14,19,12,18,0,18,0,18,2,7
05000US18017,"Cass County, IN",38248,0,32681,0,5567,0,3614,628,170,129,58,62,4,9,1010,457,0,24,822,445,67,77,0,24,0,24,121,68,0,24,73,90,0,24,0,24,0,24,0,24,9,16,0,24,64,89,0,24,0,24,0,24,638,499,27,33,18,26,0,24,593,491
05000US18019,"Clark County, IN",114893,0,108854,0,6039,0,4868,378,380,217,128,89,99,93,382,336,0,27,61,64,64,79,0,27,0,27,257,265,0,27,97,77,0,27,0,27,0,27,34,48,14,25,0,27,23,33,0,27,26,41,0,27,85,58,30,41,26,30,0,27,29,34
05000US18021,"Clay County, IN",26375,0,26028,0,347,0,191,91,46,49,0,21,0,21,11,22,0,21,0,21,0,21,0,21,11,22,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,99,106,0,21,0,21,0,21,99,106
05000US18023,"Clinton County, IN",32455,0,27523,0,4932,0,4650,146,85,93,0,24,2,4,121,70,0,24,59,64,18,29,13,21,0,24,31,37,0,24,6,9,1,2,0,24,0,24,5,9,0,24,0,24,0,24,0,24,0,24,0,24,68,74,15,24,0,24,0,24,53,69
05000US18025,"Crawford County, IN",10598,0,10444,0,154,0,99,42,30,29,14,20,0,18,1,4,0,18,0,18,0,18,0,18,1,4,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,10,17,0,18,0,18,0,18,10,17
05000US18027,"Daviess County, IN",32777,0,31215,0,1562,0,1000,389,121,86,0,24,0,24,429,396,0,24,14,22,76,77,0,24,0,24,339,392,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,12,15,0,24,3,5,0,24,9,14
05000US18029,"Dearborn County, IN",49564,0,48970,0,594,0,396,125,27,23,0,24,0,24,43,51,0,24,43,51,0,24,0,24,0,24,0,24,0,24,102,88,46,53,0,24,0,24,0,24,0,24,0,24,56,92,0,24,0,24,0,24,26,33,24,32,0,24,0,24,2,3
