Race,"Adams County, IN","Allen County, IN","Bartholomew County, IN","Benton County, IN","Blackford County, IN","Boone County, IN","Brown County, IN","Carroll County, IN","Cass County, IN","Clark County, IN","Clay County, IN","Clinton County, IN","Crawford County, IN","Daviess County, IN","Dearborn County, IN","Decatur County, IN","DeKalb County, IN","Delaware County, IN","Dubois County, IN","Elkhart County, IN","Fayette County, IN","Floyd County, IN","Fountain County, IN","Franklin County, IN","Fulton County, IN","Gibson County, IN","Grant County, IN","Greene County, IN","Hamilton County, IN","Hancock County, IN","Harrison County, IN","Hendricks County, IN","Henry County, IN","Howard County, IN","Huntington County, IN","Jackson County, IN","Jasper County, IN","Jay County, IN","Jefferson County, IN","Jennings County, IN","Johnson County, IN","Knox County, IN","Kosciusko County, IN","LaGrange County, IN","Lake County, IN","LaPorte County, IN","Lawrence County, IN","Madison County, IN","Marion County, IN","Marshall County, IN","Martin County, IN","Miami County, IN","Monroe County, IN","Montgomery County, IN","Morgan County, IN","Newton County, IN","Noble County, IN","Ohio County, IN","Orange County, IN","Owen County, IN","Parke County, IN","Perry County, IN","Pike County, IN","Porter County, IN","Posey County, IN","Pulaski County, IN","Putnam County, IN","Randolph County, IN","Ripley County, IN","Rush County, IN","St. Joseph County, IN","Scott County, IN","Shelby County, IN","Spencer County, IN","Starke County, IN","Steuben County, IN","Sullivan County, IN","Switzerland County, IN","Tippecanoe County, IN","Tipton County, IN","Union County, IN","Vanderburgh County, IN","Vermillion County, IN","Vigo County, IN","Wabash County, IN","Warren County, IN","Warrick County, IN","Washington County, IN","Wayne County, IN","Wells County, IN","White County, IN","Whitley County, IN"
Apache,15,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,19,0,11,0,0,0,0,0,4,11,0,0,0,0,8,0,26,0,0,0,0,0,0,0,0,0,0,0,0,18,7,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,11,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,7,0,9,0
Arapaho,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackfeet,0,5,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,70,0,0,0,21,34,0,0,0,0,0,0,0,0,5,0,82,41,0,0,18,0,0,5,11,0,7,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,4,0,0,0,0,0,0,0,0,0
Canadian and French American Indian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central American Indian,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cherokee,0,160,138,1,14,30,0,0,9,14,13,0,25,11,35,0,18,31,0,138,0,62,0,0,40,8,36,5,29,59,2,81,32,101,50,58,0,11,0,18,22,0,132,8,273,45,16,34,596,0,34,18,59,0,6,11,4,5,19,26,28,0,0,83,3,12,28,0,16,0,291,38,6,1,0,0,3,0,135,0,0,144,23,0,10,0,30,89,36,7,0,0
Cheyenne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Chickasaw,0,13,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,80,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
Chippewa,0,11,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,64,0,0,14,14,0,0,0,4,0,60,0,108,19,0,14,5,0,0,0,12,0,183,0,9,0,18,8,0,11,71,5,0,0,14,0,0,4,0,0,0,0,0,0,0,33,0,0,0,0,17,0,3,0,0,8,0,0,0,0,0,0,0,21,0,26,0,0,0,0,0,0,15,0
Choctaw,0,20,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,91,0,0,30,0,60,0,0,0,0,0,0,0,0,0,3,64,64,0,7,23,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Colville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
Comanche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,7
Cree,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Creek,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
Crow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,26,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hopi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Houma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iroquois,0,0,0,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,13,8,32,0,115,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
Kiowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Lumbee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
Menominee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexican American Indian,1,37,0,0,0,0,0,17,0,21,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,12,0,0,0,126,4,0,25,127,57,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,23,0,0,5,6,0,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0
Navajo,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,17,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,12,0,0,0,0,0,12,0,4,0,0,0,0,25,0,0,0,0,10,0,0,0
Osage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ottawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,21,0,0,0,0,3,0,0,0,0,0,0,0,0
Paiute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
