geoid,name,B02016001,"B02016001, Error",B02016001.5,"B02016001.5, Error",B02016002,"B02016002, Error",B02016003,"B02016003, Error",B02016004,"B02016004, Error",B02016005,"B02016005, Error",B02016005.5,"B02016005.5, Error",B02016006,"B02016006, Error",B02016007,"B02016007, Error",B02016008,"B02016008, Error",B02016008.5,"B02016008.5, Error",B02016009,"B02016009, Error",B02016010,"B02016010, Error",B02016011,"B02016011, Error",B02016012,"B02016012, Error"
04000US18,Indiana,2635,417,,,902,249,514,139,66,37,6,7,,,685,293,104,68,0,27,,,0,27,33,26,265,116,60,43
05000US18001,"Adams County, IN",0,24,,,0,24,0,24,0,24,0,24,,,0,24,0,24,0,24,,,0,24,0,24,0,24,0,24
05000US18003,"Allen County, IN",151,80,,,0,27,115,76,0,27,0,27,,,17,20,0,27,0,27,,,0,27,0,27,19,26,0,27
05000US18005,"Bartholomew County, IN",64,64,,,30,51,25,38,0,27,0,27,,,9,14,0,27,0,27,,,0,27,0,27,0,27,0,27
05000US18007,"Benton County, IN",0,16,,,0,16,0,16,0,16,0,16,,,0,16,0,16,0,16,,,0,16,0,16,0,16,0,16
05000US18009,"Blackford County, IN",0,18,,,0,18,0,18,0,18,0,18,,,0,18,0,18,0,18,,,0,18,0,18,0,18,0,18
05000US18011,"Boone County, IN",0,27,,,0,27,0,27,0,27,0,27,,,0,27,0,27,0,27,,,0,27,0,27,0,27,0,27
05000US18013,"Brown County, IN",0,18,,,0,18,0,18,0,18,0,18,,,0,18,0,18,0,18,,,0,18,0,18,0,18,0,18
05000US18015,"Carroll County, IN",4,6,,,4,6,0,18,0,18,0,18,,,0,18,0,18,0,18,,,0,18,0,18,0,18,0,18
05000US18017,"Cass County, IN",43,63,,,0,24,6,16,0,24,0,24,,,37,59,0,24,0,24,,,0,24,0,24,0,24,0,24
05000US18019,"Clark County, IN",15,25,,,15,25,0,27,0,27,0,27,,,0,27,0,27,0,27,,,0,27,0,27,0,27,0,27
05000US18021,"Clay County, IN",0,21,,,0,21,0,21,0,21,0,21,,,0,21,0,21,0,21,,,0,21,0,21,0,21,0,21
05000US18023,"Clinton County, IN",37,39,,,32,35,5,7,0,24,0,24,,,0,24,0,24,0,24,,,0,24,0,24,0,24,0,24
05000US18025,"Crawford County, IN",0,18,,,0,18,0,18,0,18,0,18,,,0,18,0,18,0,18,,,0,18,0,18,0,18,0,18
05000US18027,"Daviess County, IN",11,17,,,0,24,0,24,0,24,0,24,,,0,24,0,24,0,24,,,0,24,0,24,11,17,0,24
05000US18029,"Dearborn County, IN",0,24,,,0,24,0,24,0,24,0,24,,,0,24,0,24,0,24,,,0,24,0,24,0,24,0,24
05000US18031,"Decatur County, IN",0,21,,,0,21,0,21,0,21,0,21,,,0,21,0,21,0,21,,,0,21,0,21,0,21,0,21
05000US18033,"DeKalb County, IN",0,24,,,0,24,0,24,0,24,0,24,,,0,24,0,24,0,24,,,0,24,0,24,0,24,0,24
05000US18035,"Delaware County, IN",115,111,,,37,33,7,12,0,27,0,27,,,71,105,0,27,0,27,,,0,27,0,27,0,27,0,27
05000US18037,"Dubois County, IN",0,24,,,0,24,0,24,0,24,0,24,,,0,24,0,24,0,24,,,0,24,0,24,0,24,0,24
05000US18039,"Elkhart County, IN",135,65,,,15,18,15,18,0,27,0,27,,,87,58,0,27,0,27,,,0,27,0,27,18,21,0,27
05000US18041,"Fayette County, IN",0,21,,,0,21,0,21,0,21,0,21,,,0,21,0,21,0,21,,,0,21,0,21,0,21,0,21
05000US18043,"Floyd County, IN",0,27,,,0,27,0,27,0,27,0,27,,,0,27,0,27,0,27,,,0,27,0,27,0,27,0,27
05000US18045,"Fountain County, IN",0,18,,,0,18,0,18,0,18,0,18,,,0,18,0,18,0,18,,,0,18,0,18,0,18,0,18
05000US18047,"Franklin County, IN",0,21,,,0,21,0,21,0,21,0,21,,,0,21,0,21,0,21,,,0,21,0,21,0,21,0,21
05000US18049,"Fulton County, IN",12,22,,,0,21,12,22,0,21,0,21,,,0,21,0,21,0,21,,,0,21,0,21,0,21,0,21
05000US18051,"Gibson County, IN",0,24,,,0,24,0,24,0,24,0,24,,,0,24,0,24,0,24,,,0,24,0,24,0,24,0,24
05000US18053,"Grant County, IN",0,27,,,0,27,0,27,0,27,0,27,,,0,27,0,27,0,27,,,0,27,0,27,0,27,0,27
05000US18055,"Greene County, IN",14,25,,,14,25,0,24,0,24,0,24,,,0,24,0,24,0,24,,,0,24,0,24,0,24,0,24
05000US18057,"Hamilton County, IN",9,16,,,9,16,0,27,0,27,0,27,,,0,27,0,27,0,27,,,0,27,0,27,0,27,0,27
05000US18059,"Hancock County, IN",18,30,,,0,27,18,30,0,27,0,27,,,0,27,0,27,0,27,,,0,27,0,27,0,27,0,27
05000US18061,"Harrison County, IN",0,24,,,0,24,0,24,0,24,0,24,,,0,24,0,24,0,24,,,0,24,0,24,0,24,0,24
05000US18063,"Hendricks County, IN",0,27,,,0,27,0,27,0,27,0,27,,,0,27,0,27,0,27,,,0,27,0,27,0,27,0,27
05000US18065,"Henry County, IN",12,14,,,7,13,0,24,0,24,2,3,,,0,24,0,24,0,24,,,0,24,0,24,3,5,0,24
05000US18067,"Howard County, IN",33,29,,,14,24,7,11,0,27,0,27,,,10,14,0,27,0,27,,,0,27,0,27,2,4,0,27
05000US18069,"Huntington County, IN",0,24,,,0,24,0,24,0,24,0,24,,,0,24,0,24,0,24,,,0,24,0,24,0,24,0,24
05000US18071,"Jackson County, IN",0,24,,,0,24,0,24,0,24,0,24,,,0,24,0,24,0,24,,,0,24,0,24,0,24,0,24
05000US18073,"Jasper County, IN",0,24,,,0,24,0,24,0,24,0,24,,,0,24,0,24,0,24,,,0,24,0,24,0,24,0,24
05000US18075,"Jay County, IN",1,3,,,1,3,0,21,0,21,0,21,,,0,21,0,21,0,21,,,0,21,0,21,0,21,0,21
05000US18077,"Jefferson County, IN",0,24,,,0,24,0,24,0,24,0,24,,,0,24,0,24,0,24,,,0,24,0,24,0,24,0,24
05000US18079,"Jennings County, IN",0,21,,,0,21,0,21,0,21,0,21,,,0,21,0,21,0,21,,,0,21,0,21,0,21,0,21
05000US18081,"Johnson County, IN",16,27,,,16,27,0,27,0,27,0,27,,,0,27,0,27,0,27,,,0,27,0,27,0,27,0,27
05000US18083,"Knox County, IN",39,39,,,39,39,0,24,0,24,0,24,,,0,24,0,24,0,24,,,0,24,0,24,0,24,0,24
05000US18085,"Kosciusko County, IN",12,23,,,0,27,0,27,0,27,0,27,,,0,27,0,27,0,27,,,0,27,0,27,12,23,0,27
05000US18087,"LaGrange County, IN",7,11,,,7,11,0,24,0,24,0,24,,,0,24,0,24,0,24,,,0,24,0,24,0,24,0,24
05000US18089,"Lake County, IN",206,71,,,21,26,134,80,0,27,0,27,,,33,37,0,27,0,27,,,0,27,0,27,14,24,4,9
05000US18091,"LaPorte County, IN",38,47,,,0,27,34,46,0,27,4,6,,,0,27,0,27,0,27,,,0,27,0,27,0,27,0,27
05000US18093,"Lawrence County, IN",21,37,,,0,24,0,24,0,24,0,24,,,21,37,0,24,0,24,,,0,24,0,24,0,24,0,24
05000US18095,"Madison County, IN",64,75,,,0,27,0,27,0,27,0,27,,,6,10,0,27,0,27,,,0,27,15,21,43,56,0,27
05000US18097,"Marion County, IN",425,238,,,139,80,10,15,0,27,0,27,,,264,233,0,27,0,27,,,0,27,0,27,12,18,0,27
05000US18099,"Marshall County, IN",0,24,,,0,24,0,24,0,24,0,24,,,0,24,0,24,0,24,,,0,24,0,24,0,24,0,24
05000US18101,"Martin County, IN",25,58,,,25,58,0,18,0,18,0,18,,,0,18,0,18,0,18,,,0,18,0,18,0,18,0,18
05000US18103,"Miami County, IN",28,36,,,0,24,4,8,0,24,0,24,,,2,5,0,24,0,24,,,0,24,0,24,22,34,0,24
05000US18105,"Monroe County, IN",44,37,,,21,24,0,27,0,27,0,27,,,0,27,0,27,0,27,,,0,27,7,11,16,25,0,27
05000US18107,"Montgomery County, IN",7,12,,,0,24,0,24,0,24,0,24,,,2,3,0,24,0,24,,,0,24,0,24,0,24,5,9
05000US18109,"Morgan County, IN",0,27,,,0,27,0,27,0,27,0,27,,,0,27,0,27,0,27,,,0,27,0,27,0,27,0,27
05000US18111,"Newton County, IN",0,18,,,0,18,0,18,0,18,0,18,,,0,18,0,18,0,18,,,0,18,0,18,0,18,0,18
05000US18113,"Noble County, IN",1,2,,,1,2,0,24,0,24,0,24,,,0,24,0,24,0,24,,,0,24,0,24,0,24,0,24
05000US18115,"Ohio County, IN",0,16,,,0,16,0,16,0,16,0,16,,,0,16,0,16,0,16,,,0,16,0,16,0,16,0,16
05000US18117,"Orange County, IN",0,18,,,0,18,0,18,0,18,0,18,,,0,18,0,18,0,18,,,0,18,0,18,0,18,0,18
05000US18119,"Owen County, IN",0,21,,,0,21,0,21,0,21,0,21,,,0,21,0,21,0,21,,,0,21,0,21,0,21,0,21
05000US18121,"Parke County, IN",92,119,,,92,119,0,18,0,18,0,18,,,0,18,0,18,0,18,,,0,18,0,18,0,18,0,18
05000US18123,"Perry County, IN",0,18,,,0,18,0,18,0,18,0,18,,,0,18,0,18,0,18,,,0,18,0,18,0,18,0,18
05000US18125,"Pike County, IN",0,18,,,0,18,0,18,0,18,0,18,,,0,18,0,18,0,18,,,0,18,0,18,0,18,0,18
05000US18127,"Porter County, IN",187,115,,,74,79,12,20,0,27,0,27,,,76,85,0,27,0,27,,,0,27,0,27,25,38,0,27
05000US18129,"Posey County, IN",0,21,,,0,21,0,21,0,21,0,21,,,0,21,0,21,0,21,,,0,21,0,21,0,21,0,21
05000US18131,"Pulaski County, IN",0,18,,,0,18,0,18,0,18,0,18,,,0,18,0,18,0,18,,,0,18,0,18,0,18,0,18
05000US18133,"Putnam County, IN",10,17,,,0,24,0,24,0,24,0,24,,,10,17,0,24,0,24,,,0,24,0,24,0,24,0,24
05000US18135,"Randolph County, IN",0,21,,,0,21,0,21,0,21,0,21,,,0,21,0,21,0,21,,,0,21,0,21,0,21,0,21
05000US18137,"Ripley County, IN",0,21,,,0,21,0,21,0,21,0,21,,,0,21,0,21,0,21,,,0,21,0,21,0,21,0,21
05000US18139,"Rush County, IN",0,18,,,0,18,0,18,0,18,0,18,,,0,18,0,18,0,18,,,0,18,0,18,0,18,0,18
05000US18141,"St. Joseph County, IN",273,40,,,91,56,51,30,66,37,0,27,,,40,29,0,27,0,27,,,0,27,0,27,0,27,25,31
05000US18143,"Scott County, IN",0,21,,,0,21,0,21,0,21,0,21,,,0,21,0,21,0,21,,,0,21,0,21,0,21,0,21
05000US18145,"Shelby County, IN",0,24,,,0,24,0,24,0,24,0,24,,,0,24,0,24,0,24,,,0,24,0,24,0,24,0,24
05000US18147,"Spencer County, IN",16,25,,,16,25,0,21,0,21,0,21,,,0,21,0,21,0,21,,,0,21,0,21,0,21,0,21
05000US18149,"Starke County, IN",0,21,,,0,21,0,21,0,21,0,21,,,0,21,0,21,0,21,,,0,21,0,21,0,21,0,21
05000US18151,"Steuben County, IN",11,19,,,0,24,0,24,0,24,0,24,,,0,24,0,24,0,24,,,0,24,11,19,0,24,0,24
05000US18153,"Sullivan County, IN",0,21,,,0,21,0,21,0,21,0,21,,,0,21,0,21,0,21,,,0,21,0,21,0,21,0,21
05000US18155,"Switzerland County, IN",0,18,,,0,18,0,18,0,18,0,18,,,0,18,0,18,0,18,,,0,18,0,18,0,18,0,18
05000US18157,"Tippecanoe County, IN",64,51,,,0,27,42,57,0,27,0,27,,,0,27,0,27,0,27,,,0,27,0,27,22,28,0,27
05000US18159,"Tipton County, IN",56,82,,,56,82,0,18,0,18,0,18,,,0,18,0,18,0,18,,,0,18,0,18,0,18,0,18
05000US18161,"Union County, IN",0,16,,,0,16,0,16,0,16,0,16,,,0,16,0,16,0,16,,,0,16,0,16,0,16,0,16
05000US18163,"Vanderburgh County, IN",261,48,,,84,43,17,25,0,27,0,27,,,0,27,104,68,0,27,,,0,27,0,27,30,50,26,24
05000US18165,"Vermillion County, IN",0,18,,,0,18,0,18,0,18,0,18,,,0,18,0,18,0,18,,,0,18,0,18,0,18,0,18
05000US18167,"Vigo County, IN",44,55,,,28,45,0,27,0,27,0,27,,,0,27,0,27,0,27,,,0,27,0,27,16,29,0,27
05000US18169,"Wabash County, IN",0,24,,,0,24,0,24,0,24,0,24,,,0,24,0,24,0,24,,,0,24,0,24,0,24,0,24
05000US18171,"Warren County, IN",0,16,,,0,16,0,16,0,16,0,16,,,0,16,0,16,0,16,,,0,16,0,16,0,16,0,16
05000US18173,"Warrick County, IN",14,24,,,14,24,0,27,0,27,0,27,,,0,27,0,27,0,27,,,0,27,0,27,0,27,0,27
05000US18175,"Washington County, IN",0,21,,,0,21,0,21,0,21,0,21,,,0,21,0,21,0,21,,,0,21,0,21,0,21,0,21
05000US18177,"Wayne County, IN",0,27,,,0,27,0,27,0,27,0,27,,,0,27,0,27,0,27,,,0,27,0,27,0,27,0,27
05000US18179,"Wells County, IN",0,21,,,0,21,0,21,0,21,0,21,,,0,21,0,21,0,21,,,0,21,0,21,0,21,0,21
05000US18181,"White County, IN",0,21,,,0,21,0,21,0,21,0,21,,,0,21,0,21,0,21,,,0,21,0,21,0,21,0,21
05000US18183,"Whitley County, IN",0,24,,,0,24,0,24,0,24,0,24,,,0,24,0,24,0,24,,,0,24,0,24,0,24,0,24
