geoid,name,B02008001,"B02008001, Error"
04000US18,Indiana,5687667,5534
05000US18001,"Adams County, IN",34084,196
05000US18003,"Allen County, IN",304280,1402
05000US18005,"Bartholomew County, IN",70604,561
05000US18007,"Benton County, IN",8564,38
05000US18009,"Blackford County, IN",12103,63
05000US18011,"Boone County, IN",60060,242
05000US18013,"Brown County, IN",14740,102
05000US18015,"Carroll County, IN",19483,174
05000US18017,"Cass County, IN",32529,418
05000US18019,"Clark County, IN",105180,616
05000US18021,"Clay County, IN",26075,115
05000US18023,"Clinton County, IN",31130,271
05000US18025,"Crawford County, IN",10476,50
05000US18027,"Daviess County, IN",31530,406
05000US18029,"Dearborn County, IN",48540,217
05000US18031,"Decatur County, IN",25685,159
05000US18033,"DeKalb County, IN",42092,127
05000US18035,"Delaware County, IN",104930,402
05000US18037,"Dubois County, IN",40325,553
05000US18039,"Elkhart County, IN",183468,1338
05000US18041,"Fayette County, IN",22655,97
05000US18043,"Floyd County, IN",70507,387
05000US18045,"Fountain County, IN",16453,84
05000US18047,"Franklin County, IN",22682,86
05000US18049,"Fulton County, IN",19366,185
05000US18051,"Gibson County, IN",32514,195
05000US18053,"Grant County, IN",61366,358
05000US18055,"Greene County, IN",32141,99
05000US18057,"Hamilton County, IN",276747,958
05000US18059,"Hancock County, IN",70448,416
05000US18061,"Harrison County, IN",38682,260
05000US18063,"Hendricks County, IN",141926,692
05000US18065,"Henry County, IN",46918,226
05000US18067,"Howard County, IN",74241,482
05000US18069,"Huntington County, IN",35555,136
05000US18071,"Jackson County, IN",40708,307
05000US18073,"Jasper County, IN",32290,282
05000US18075,"Jay County, IN",20804,139
05000US18077,"Jefferson County, IN",31161,171
05000US18079,"Jennings County, IN",27120,148
05000US18081,"Johnson County, IN",138957,818
05000US18083,"Knox County, IN",35982,121
05000US18085,"Kosciusko County, IN",75368,540
05000US18087,"LaGrange County, IN",38531,77
05000US18089,"Lake County, IN",314770,2131
05000US18091,"LaPorte County, IN",95080,580
05000US18093,"Lawrence County, IN",44815,209
05000US18095,"Madison County, IN",117374,651
05000US18097,"Marion County, IN",614034,2894
05000US18099,"Marshall County, IN",44030,561
05000US18101,"Martin County, IN",10034,76
05000US18103,"Miami County, IN",33291,198
05000US18105,"Monroe County, IN",129418,549
05000US18107,"Montgomery County, IN",37510,148
05000US18109,"Morgan County, IN",68571,124
05000US18111,"Newton County, IN",13683,151
05000US18113,"Noble County, IN",46718,182
05000US18115,"Ohio County, IN",5772,50
05000US18117,"Orange County, IN",19183,91
05000US18119,"Owen County, IN",20643,107
05000US18121,"Parke County, IN",16693,153
05000US18123,"Perry County, IN",18490,128
05000US18125,"Pike County, IN",12206,101
05000US18127,"Porter County, IN",156546,712
05000US18129,"Posey County, IN",25002,130
05000US18131,"Pulaski County, IN",12445,114
05000US18133,"Putnam County, IN",35707,166
05000US18135,"Randolph County, IN",24704,201
05000US18137,"Ripley County, IN",27723,98
05000US18139,"Rush County, IN",16425,79
05000US18141,"St. Joseph County, IN",220255,1112
05000US18143,"Scott County, IN",23440,127
05000US18145,"Shelby County, IN",42441,285
05000US18147,"Spencer County, IN",20155,121
05000US18149,"Starke County, IN",22464,169
05000US18151,"Steuben County, IN",34100,108
05000US18153,"Sullivan County, IN",19808,96
05000US18155,"Switzerland County, IN",10432,84
05000US18157,"Tippecanoe County, IN",158552,1123
05000US18159,"Tipton County, IN",15007,156
05000US18161,"Union County, IN",7182,47
05000US18163,"Vanderburgh County, IN",160397,683
05000US18165,"Vermillion County, IN",15439,95
05000US18167,"Vigo County, IN",97821,494
05000US18169,"Wabash County, IN",30937,188
05000US18171,"Warren County, IN",8198,35
05000US18173,"Warrick County, IN",58732,238
05000US18175,"Washington County, IN",27613,106
05000US18177,"Wayne County, IN",62013,431
05000US18179,"Wells County, IN",27135,208
05000US18181,"White County, IN",22728,248
05000US18183,"Whitley County, IN",32951,136
